sentiment,content
anger,Got the sniffles   I SO don't want to get sick - I don't need this.
anger,Gahh ! This weather sucksss !
sadness,"@BIOSShadow I'm not going, sadly.  Maybe next year, eh?"
neutral,says it's late. Goodnight people!
neutral,@dreaming_aloud @DanBarnes501 and that hindi flick '99' that came out a couple of weeks ago that never made it to the UK
sadness,I'm sick!  it sucks! IM me! ohbabayy33
happiness,@threatbot It's going to be a fun night and I'm helping host it!!!
anger,in a bad mood now  annoying when its sunny
happiness,@nlouisem thanks!!
anger,im grounded tonight  i hate stupid silent mode
neutral,@BusyGod PGPM student from where? I myself was a PGPM student about 4 years back. I wish I could stay one
neutral,@accidbrrittanny lol hey
neutral,is going to drink a mojito and lay down to watch movies with my hubby. Goodnight fellow tweeters
sadness,@MerCuriosJewels Wonderful trip!  Read all 4 Twilight novels.  Completely all consuming and engrossing.  Kinda sad to be done.
neutral,@scumm_boy I'm sorry  I'm thinking about you and hope the week gets better!
sadness,@lick_it_good den fell asleep on me!!!
anger,Still hating the whole Twitter replies thing. I feel like I'm missing bits.  #fixreplies
neutral,Let me google that for you http://lmgtfy.com/
sadness,"@Wizardess I got a coupon, but I couldn't register it because you have to be in the US"
happiness,"Just had the best hot chocolate ever with chilli  On my way back to the UK now, I need my lovely bed....oh and a sunday roast mmmm."
anger,@PirateTimmy hopefully it don't go that far  sometimes I feel like renouncing my roots
happiness,"@tallivansunder Too easy! Happy Mother's Day, to a great mom!"
happiness,Just bought a flavor for my snow cone machine  mhm!Yummay! I need new sunglasses Rachel&amp;I have a plan!Yezzz-sir-E we do Ruless to Much!
sadness,"Happiness comes from within...so the fact that it is a gray, rainy, Monday doesn't bother me. Well, not too much."
neutral,@JohannaBD so I've organised a day of indulgence &amp; luxury for her. A pamper day  fingers crossed she likes the surprise..
anger,#twitterfails fucking hard right now...this is annoying
sadness,@BSBVBK im trying to fix it.. it doesnt do it  and its &quot;ahi dios mio&quot; but u did good lol
sadness,@theloudninja Not by choice.  I have to use it for that one project that never ends!
anger,has not finished the bio mols mind map  stupid sheet hid sections from me on the back!
sadness,"does not feel like babysitting. i want to go to the gym. weird, i know. i miss zack"
anger,"@Miki_is_Rad yeah it was shit D: im so tired, i have a headache and now i have to play a game of rygby D: but ill be right  xxx &lt;33"
neutral,@calvinharris i wannabe in dubai
sadness,I'm going to have Zydrate Anatomy stuck in my head for the rest of my life. It makes me miss Chelsea. She always liked Graverobber.
neutral,blogging..it's my new passion
happiness,@akoyamiazaki #steel toe boots - Good to hear that you're comfy. Hopefully they are Kodiak or Terra brand
neutral,hasa Lemon Cake in the oven and is going on to make Pork Casserole  Domestic or what!
neutral,@miarav Wanna come with?  Before we go to Myka's party.
neutral,is still working  #fb
neutral,#frenchieb-day #frenchieb-day #frenchieb-day #frenchieb-day #frenchieb-day #frenchieb-day #frenchieb-day #frenchieb-day #frenchieb-day
sadness,I burneded my tummy
happiness,"you belong with me may be my favourite music video ever, and lucas till makes it just that little bit better"
sadness,@AubreyODay happy mommas day . ging is so lucky to have a momma like u  enjoy ur nite! luv ya
sadness,Scrubs tonight (8.00pm). woo!
happiness,@voidspace Thanks man.  That sorted it. I only ever remember 222.222
neutral,@RobCairns My pleasure.  Hear Kelli has new project!   #followfriday
anger,@x_Beckiie_x omg are you going to see it?! another reason to not live in devon none of the f***in cinemas have the film im so annoyed
happiness,@lancearmstrong I want a massage!!!
neutral,Why aren't we Facebook buds @MISSCOKASPLASH?
happiness,@Custardcuppcake how is Aussie...im hopin to be there in Sydney in less than a week just got my VISA on thursday whoot whoot
neutral,@KristinStewart SherriEShepherd gave the link for @Brento http://www.brentozar.com/twitter. He gives Twitter tips. Hope this helps
anger,My stomach is killing me do j can't sleep
happiness,I'm loving the humidity right now...great for the skin....another love that won't last
neutral,Aww When Love Is Gone is playing on shuffle
anger,@LRon_Jaii :-S weirdo leave him alone
anger,GIVE A HATER A Hug ? Why would you do that? I don't like mwean people
neutral,I just spent 2 hours looking for a blog topic and ended up inventing my own.  grrrr    http://bit.ly/QRz6y
happiness,feels accomplished!!!  She got a lot done today! http://plurk.com/p/stns9
anger,Not talking to anais anymore.
neutral,Tomorrow i mean anna
neutral,@farrahdy take a medicine
anger,@lozzy hahah I wish that was true. This is really really bad  just gonna stay home and chill tonight. And as usual I REALLY wanted to go.
anger,"Phone disconnects my internet. Right in the middle of an uber.  Also, first Tweet from inside of Steam."
anger,@ImWendy that sucks!
neutral,@PerezHilton if u want i can send you the naughty snaps taken during teh same shoot
happiness,Finally making some headway in the family room!  Home is finally begining to look like it!  btw dial up can go die!
sadness,@etschuetz that sux  but mayb 4 the btr u nvr know
neutral,"@ElegySanft I don't say it, I KNOW it.  Because I'm just good like that"
neutral,@amhzz... did u get an invite? I miss u
sadness,i cant hear anything outta my left ear
happiness,going to watch some tv now - crazy night out - up at 7am for work tomorrow  I'll live somehow! At least it means I finish early!
anger,@SQLDBA Sorry  I'll make sure to bomb in talk at SSUG next month as penance ;-)
happiness,gorgeous wedding. hope i can experience that love one day. cheers to the beautiful couple! ummmm did the hawks win??????  no really..?
neutral,Morning. Off to school... Ickkk!
neutral,@cypher Thanks!
neutral,Addicted to Glee... watching the video over and over again....I should be out
happiness,At the Spoke Club - fell in love with Tom Arnold all over again (not Rosie's ex definitely different)... Lucky moi
sadness,Homework day
anger,wonder what white supremists have to say about this  I abhor racists. http://bit.ly/Rd31F
neutral,@MatthewFuller i did i only got 3 stars on the pre wash then failed the rince
neutral,I can't find Tom Price on the tweeterwall
happiness,@MariahCarey can your 500 hrs of beautey school fix that?  haha
sadness,Dann and I are in Vegas. We misconnected and our next flight is at 4:45 to Midway. Tonight I will be in a hotel w/o undies
neutral,ipod died today
happiness,"waiting for amy so me, her and @reecerentboy can go see the hannah montanna movie!!!"
happiness,HAHA! Follow john mayer..he's a pretty funny guy  I want to move to L.A .... it's so much more fun!
neutral,@HandiQuilterBG I have an even dozen.  thanks for reminding me. I quilt 2 and make 3. LOL
sadness,ahhhh now i have no pic
happiness,going to look in the refrigerator for a taste snack to eat
anger,@Sissillie i honestly hope the theatre gets hit by a meteor before you get there
neutral,Bandwith limit exceed on filaty
anger,The only thing I hate about Playoff Pens hockey is how much the tickets are! I wanted to go to a game but there 300$ a ticket
sadness,gprof problem on Mac  why ??
anger,"urgh, i really hate that medicine"
happiness,Damn just spent a week whole of pay on shopping  oh well i'm happy!!!
neutral,@babygirlparis where are you going paris?
sadness,@daveaitel I'm already here  see you there!
anger,ScREW MY PHONE. ITS BROKEN. DONT BOTHER TEXTING.
anger,almost everyone can suck my clit right about now. ive had it up to here with people fucking me over !
happiness,@piyush_ranjan Did I ever mention what a nice and awesome dude you are?
happiness,http://twitpic.com/4qfl3 - haha^^ I love it
happiness,@AndreaKoeln I listen it right now - so much fun!!!  No I just have to get it somehow
neutral,"@garretjiroux Yep, I'm more of a facebook person  http://bit.ly/duFAz"
neutral,@juicystar007 i think you should do it with hannah
sadness,i hate it when my bff is groundedd  boooooooooo
happiness,I love the sunshine and the happiness it brings
sadness,is having headache and colds...
sadness,"Season 1 of Lie To Me was serious. Damn, now here comes the wait."
happiness,@evgibson I have to admit at being a Colin Firth groupie at this point.
sadness,"do not go to moes mexican grill, it is TOO spicy!"
happiness,"@OysteinLund either way, you always tend to make my #followfriday list, sweetie - you do rock that much"
happiness,"I am tired of my phone. Walkman works like a charm, but l need better video and wap really. Thanks for yesterday and for buying my album"
neutral,9. shopping 10. Latte with my sis 11. Friday- Meets at the FAU 12. Fire- Steet- Party  13. slowmotion in the park 13. partying my bday
sadness,Been working lots of overtime this week. Only just realized I booked a half day tomorrow so this week will just break even
neutral,ups ketauan cabut nih gimana dong
sadness,I'm feeling very alone at the moment   Mh..I'm going to leave now.
happiness,"@GeekySteph also, try Friendly Fires if you haven't already heard them. great stuff  AND Florence and The Machine. Great, great music"
sadness,"@nm you're fine - trying to kill off the bots and retweets in a bid to be the least popular person on Twitter. Btw, who are you ??"
neutral,Headed to waterfront for a quick drink with the office peeps...Corsen Building of course was booked  Any suggestions?
sadness,Arghhhhhhhhh... i can't keep up with these TwitterBones peeps
sadness,@kimberley_ thats coz we love you
neutral,Good morning!
neutral,"haizzz, hem cï¿½n ai, t? ?i ?n ?ï¿½y... ?ï¿½i b?ng quï¿½  Bibi c? nhï¿½ trï¿½i cï¿½y"
happiness,@Harley_Dude @helloo_kitty @morninglory well aren't you just absolutely special. Haha special ed. I think I've received no new followers
sadness,@pallet2005 apologies don't fix hurt feelings kev.  anyway i'll get it from u next time I c u.
neutral,@AndyBradbury - mostley yellow and green
happiness,@JoeJonas1Fan1 haha yay for crust  (i tend to be a little weird when im super bored lol)
neutral,"@GlovesElectric well then you should come, nigguh. Only thing is i may be going to like Phuket or Bali afterwards"
neutral,@dorzki you right  *feel
happiness,watching SNL   yay for @jtimberlake hosting!  I love him
anger,general cleaning! i hate cleaning
happiness,@PsychoBeauty word?? ima be there this summer....just move back with me  lol
sadness,Today feels like friday. Too bad its not
neutral,"@keza34 ta babe, you know me i do love your curried"
neutral,"@RyanRotten This early in the morning, they probably won't even need much make-up"
sadness,with harry.. baked. love you cassie.. BUT YOU'RE NOT ONLINE!?
sadness,"@holmescnn Oh, I didn't realize its on at 830 as well- already at work- or as today still in the car, don't ask"
neutral,@lordwow I'm still waiting for Separate Ways...
anger,@roberto121 that's some serious shit steve. why didn't you send me pictures or call me!! You know i love a good yard sale.
sadness,it will be my second year that i will not be there
sadness,"@tsarnick Oh, yeah.. I'm aiming for a 160 on the scorecard today man!  I'm gonna be in vicious mental/physical pain in a few hours..."
happiness,"It's a good day! The lake is a mirror, the kids are happy, and I get to clean the cabin today... Err two outta three ain't bad!"
anger,I don't want to apply for jobs!!!
sadness,Just got home from a work.. and not looking forward to it tomorrow morning! Oh and tomorrow night! Great
anger,ok so this eye doctor guy is taking forever and i'm sitting in a cold room by myself...what? A jerk!
happiness,high &amp; dry goin to have an ice cream now with my best friend.
anger,@chuybe again your fault  i didnt make u leave
happiness,I want to play audition with Anna ~ -mHc-SMOOCH
anger,"@jessicagirrl i know fuck my dick  i really wanted to go, but i have to go to some fucking puertorican wedding, damn spanish :/"
happiness,good mornig to everone... it's a great morning ...in the evening i play in the theatre in lord of the flies. it's so much fun!
anger,Mad tht I didn't make time to hang out with a friend but I already pinky promised tht I will clear my calendar tomorrow
anger,@razzbingo britain is shit
sadness,i cant afford it  go to school here ? !!
sadness,"right, so richard marx's right here waiting is really making me feel nauseatingly sad."
neutral,@msmyers No. That would be too easy. All I have is the user manual which is not enough for me to claim his bike
anger,@reinamexicana garcia bend- learned that lesson last night! I thought i was gonna throw up! Got our tix for fashion show at end of mo.
anger,i just had the weirdest dream ever and can't see because owi credo is too brighi. But i hate guys
sadness,@eBlondie I know...heartless souls
sadness,@laurenyant which means i spend more time alone than with friends and family. how sad
sadness,my sole supporter is not my sole supporter
sadness,after mad calls..txt..fb msgs my homie finally calls me back I was so worried..I think I care far 2 much..but if anything happened 2 them
anger,"Just wanted to say, positivity is doin me good! Change it up! Won't regret it... Forsure.."
sadness,has a new nick name - arosh ..i like i like
sadness,frustrated. I just found out our sitter isn't avail. tonight. now what? no TKD test 4 me I guess  good thing I'm married to the instructor
neutral,"@hanabobana mb I'll try to do it once I'm back down at the end of the summer! Well, have fun with the movie, I'm off to watch Lost myself"
anger,EFF THAT NOISE!
anger,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!
sadness,i miss my boo  on another note im soready for this game to come on tonight...fox grill anyone???!!
sadness,"@kutski brill  i'll try and keep an eye on twitter, didn't help yesterday, ran outta battery right when i needed it."
sadness,@imfunsizee and jarita i'm going home now and i'm with two hot guys  drool.
anger,"@AmberClare I want too soo bad, I hate missing GUMBO, but I have a shoot tommorrow that I have to be at for 8:30.  So No GUMBO for me...."
neutral,Planning the things to do in May
neutral,"I justwatched like, 5 straight episodes of escaped on ID Discovery channel. A guy imprisoned 6 women, killed 2 and cooked them"
happiness,Woo hoo! My happiness score is 612. Apparently I am over-the-top happy. Considering the week I've had....
happiness,@whitsundays lol! l love your tweets! Keep them coming
sadness,I missed your calls
neutral,@caseysevenfold there coming this year ^-^  wiL said it himself  but yes now would be good.
sadness,WORKK! yay
sadness,@haylescakes Sis...I dont think I will be up 4 2nite sadly  Im in alot of pain 2day &amp; had bad nite...can we go out anotha week soon?xx
happiness,Really? I can only go in 1Direction at a time?! UGh!  Gotta take authority over the time 2day!  Say hello! Don't be a stranger! BeBlessed!
anger,"@dmolsen Gain an instant follower, just use the #tits tag in a tweet. WTF? Lesson learned, Summer of Todd to get a new *official* tag."
neutral,@ShepardsFaith I shall annoyingly tweet at you tomorrow.
anger,@TheSims2 aww BBQ? that's not fair  all i had was chocolate
neutral,my 21month daughter's seperation anxiety is intense. it's killing me. i cant leave her sight without her breaking into an anxiety attack
neutral,"@David_Kaufer You cant argue w/them, as they actually have zero things to complain about so they make stuff up"
neutral,Ready for Mother's Day? http://tinyurl.com/dcgeyv
anger,"plan may changes , nooooooo"
happiness,HAPPY MOTHER'S DAY!!!!!
happiness,Happy Sunday. We have sunshine in Frankfurt. Hope all mothers enjoy this day
sadness,I'm either always on the train or at work
sadness,"well,only one week left of my holidays,sad sad"
anger,People at work are stressing me out.
anger,Hmm maybe I this time I really did over react and do the worst
happiness,@cloudconnected I know! D: I finally got my component cables for the PS2 in the other day and instead of playing P3:FES I played OoT.
sadness,"@onlyme614 girl yes, as if having it where you CANT see it wont gross enough"
neutral,@iggyp We gotta hand out when you get back.
happiness,@krystynchong that's part of what I've been working on...use the AppStore on the phone  - there's a whole other piece of the puzzle
neutral,@paultelner lol I really wanna go there!! Imma check the vid out rite now
sadness,I'm tired. I think I'm becoming too old to go out.
neutral,@JessicaTGolden yeah I LOVE CALI so much
neutral,@ac07 LOL. Academy-ish. Haha. I really really miss O.B.
anger,Busy busy bee.....  I wish I didn't have 2 do laundry! Worst
happiness,"@RealBillBailey Bill, absolutely fantastic programme. Loved the 'cow bell' bit towards the end."
sadness,@KankzXD ohh I know her from church .. she got me into mcfly
happiness,@sexinstilettos NICE TO TWEET U
anger,"TGIF I don't like 12 hour workdays  I need to stand up, run around 4 a while.... too much sitting!!! Plus, I have honest ade tea 2day! YAY"
happiness,uploading photos to myspace from musical i was just in
sadness,Back from a wonderful vacation. Had perfect weather and now back to the rainy 'burgh and reality.
neutral,"is anxiously awaiting Rockets-Lakers game ... Yes, I finally got Tix for Games 3 &amp; 4 .... Yeahhhhh"
anger,At home now. Feeling very tired. I want to take a nap but I can't.
neutral,Drinking coffee....MMMMM.....coffee
anger,@Anna_Fur_Laxis It makes me feel physically sick. I read Let The Right One In and was only horrified by the cat violence.  Just horrible
happiness,Seeing lots of my FB friends are friending or becoming fans of Zoozoo (Voda's new face after the pug). Even iLike
anger,When r these DAMN exams ever gone b over and done with?  i wanna b out in the sun
neutral,"@gawd0r Yeah, my dad calls me Taltal, but it was taken on AOL back in 96, so I added a K for my last name, coincidence is Tal Talk."
happiness,"@jojowright thank you, god bless im going to eaat my in in out"
neutral,@AlliWorthington hi Ms. Fussy  *waves*
sadness,guess im staying home tonight...no movie-ing for me
sadness,dual reject ...  http://tinyurl.com/mfm7tl
neutral,@DiamondBlue follow me please!
happiness,Is Going To Buy A Wacom Today ... Goood Times
happiness,I wish I can see clips of your show that you hosted. Hottie Shawn in the 80's! and yes your still a Hottie!
anger,I cant get all my rwitters on my phone this phone sucks
happiness,"Got my tattoo fixed today, and it didn't hurt to much, thank god  Can't wait to get the next one. $$$."
happiness,"Pool, alcohol, &amp; a cute band, couldn't ask for more on a Saturday night  #fb http://twitpic.com/4w1rr"
anger,Ughhhh...mad as ppl make me some times...I don't like 2 have 2 do yucky thngs  I am NOT cut out 2 deal w HR stuf...ppl's tears kill me!
neutral,@Shontelle_Layne  hmm.. what's ur fav movie?? tv shows??
neutral,o ok..im jealous..i wish I was in bed
sadness,@NathalieCaron I ended up not going because my left knee is killing me.  I think I pushed myself too much yesterday
neutral,@SEGA why not united kingdom
anger,UUUUUGH!!! I HATE I MISSED @WAYNEDASTAR INTERVIEW!!! I WASNT AT HOME!!! DARN!!!
happiness,@jennyreyn Fail.    If you fancy a pit stop and a cuppa you know where I am!  lol
anger,types too fast for her own good. and has been craving pizza for 2+ wks. GAH i hate not having a job i want pizza!  lmaoz why me?!
anger,FUCK EM
sadness,#flylady Oh deary me: 15 mins not enough to rescue kitchen  I shall come back to it later so I can mow the lawn while still cool outside
anger,@kg86 Thanks  The elephants look magnificent This is what we miss due to stupid restrictions - 3G pleease and cheap!!
sadness,i miss oklahomaaaaa  listening to citizen cope til i pass out.
anger,"@charlej47's going to Disney World, lucky bitch."
neutral,anyone got JBs live chat vid? i was @ school  I saw joe hug and tackle nick lol
anger,he just fully yelled @me saying dnt be so fcking stupid grow up! stop with this band shit then... throws the remote at me thnks love u2
neutral,@djmoonlight Yay! I dont have one  lol All of my clothes go in draws... I dont have many and I need a place for my high heel shoes
sadness,if i wasnt workin in 5 hours id be gettin ratarsed to the point where i couldnt even see let alone stand up...THAT is how shit i feel
anger,im trying to put up a pic but it wont work!!!!
happiness,"I just watched 7 pounds, maaaannnnnnnnn!"
sadness,I am sitting at work watching the clock.  It isn't moving fast enough.
anger,This is slowly going to drive me crazy i hate leaky faucets they're frustrating! I'm ready for a nap but there's no naptime at work
happiness,I LOVE CHICAGO.   Tonight was AMAZING!!
happiness,"@AndrewHansen1 Thanks Andrew! It hasn't yet been published, but looking forward to it"
anger,Fuck the day flies when u got 3647 things to do and only 8 hours to do it in!!
anger,Did NOT get paid today.
neutral,@davidarchie great  what did you end up having?
sadness,is terrible at saving money..
sadness,"@GaryED46 I'm supposed to be bug fixing, and I'm Twittering, too. It's not good enough. It's Twitter or work. Bug fixing will have to go."
sadness,"@kabobbins nevermind....I kept reading and see ya'll r gonna be in Williamsburg   I'll mind my business now, lol"
anger,"@Daft_Punk_Robot  wtf.....winter isn't due til monday, am freezing"
neutral,anyone remember those izone cameras? Well i still have mine. Pretty rad
sadness,@TheRealYungBerg FOLLOW ME BABY U SAID N DA CHAT U WILL  LUV YA GOODNITE
anger,&quot;I'm giving up on you. I don't care how you mess up your life now.&quot;... :'(
sadness,2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing
anger,"I hate being reminded how weak my eyes are  I overdid reading today, they're sore as fuck. Going to rest. -sigh-"
neutral,@jonathanbriggs glad to hear it's good bank holiday weather down there to
happiness,@DomSoFresh bl MUTHAFUCKIN ah!  I win!
anger,i dont wanna do this anymore! but the couch is jus sittin in the middle of the floor. do i really HAVE to finish?
neutral,Jay Leno has one more show left as the host of The Tonight Show
happiness,http://twitpic.com/4wjai - Joe's the photographer of the family. Rehearsing is always fun. For the first couple of days it is at least.
anger,Headed to Parking Facilities to turn in permit renewal. Not being across from the breakroom means I check snailmail once a month.
neutral,I'm trying to tag myself on @Jonasbrothers picture on facebook but it already has 50 tags.  lol
sadness,Gardening stuff I ordered got returned to sender because it was damage  need to work out how to get to a garden centre.
anger,"Ugh. I hate bad grades. 1st time I've ever failed a class and no As- B, B, D, W, I, I! Not like me at all"
sadness,@MCRmuffin i couldn't be there for her last night cause i fell asleep like a retard.  agh.
happiness,@mundah and I'm really glad you were able to watch the game
sadness,"just when i thought things couldn't get any worse. it just did. and it will get even worse tonight, i bet.  my life is a misery."
sadness,Fucking typical. GH:M arrives just as I leave for work. It's going to be a long day
sadness,"I missed you yesterday, Lacey.    We get to go to granulation tonight, though."
anger,@CapAtomyc That link isn't working for me for some reason
sadness,God I just want to sleep.
happiness,"somebody smuggle me to sydney, i'll be your slave for eternity"
neutral,Just realized you can get arrested for public disturbance. oh well i'll take my chances.
sadness,"Stupid me, accidentally gave my honey the Atomic flavored buffalo wings and now his stomach feels just awful..... Im sorry baby"
anger,Bored... Some vector shit... Off to work after this class..
sadness,@TeeRibbzz noo.. U dont even know how upset I am right now..
anger,@Huntley22 haha fucking hell i know ay. shit son he's just making trouble. we could take him.
neutral,@JoesGaGirl Oh...ok...didn't know that.
anger,@xxxqueenteexxx sigh..... exams aint no wer neaaarr finished!! i have 3 next week...  bin stressd... and i aint guna b bak till end june!
neutral,"On the way to Wildomar, CA towing the Lexus"
neutral,is missing Tampa
neutral,"Lunch, club meeting, effin bored"
neutral,Itchy boobs!
sadness,@Cinderell4 bad luck  oh well next time you will be more lucky...
sadness,@Kreeoni I can't follow that one
neutral,Liked &quot;I quit smoking in September of last year after 40 years - I hope one day I won't miss it  snivel whine&quot; http://ff.im/-3nVYG
happiness,@jhughes4 Awesome fortune cookie!  I think you really WILL go to exotic places.  Hope all is well!!!
anger,Hates bleech!! Messed up my black outfit
happiness,14:14 .. someone is thinking of me  good luck to lynny and her tattoo ;)
neutral,I want my real keys back
anger,i may cry damn this weather got my ass burnt (nt literally jus my shins arms n chest) legs hurt lyk a biatch  slightly enjoy it tho ha
neutral,@deusbrackers i'm in AD for another week- visa work
neutral,@camen_marris I know. I'll have to get some soon
happiness,thanks kate too.  *kisses* Xoxo.
happiness,Bought a new combo printer at costco today (officejet j4550) cause it was cheaper than ink 4 old one. #windows7 doesn't like the fax part
sadness,"1 more goal, Gila!! But his last game is against milan. Dillematic 4 me"
sadness,This is dumb. I keep losing followers!
neutral,im just up :-| and its 12:43 :O  im so lazy thank god its a bank holiday
happiness,Feeling really good about my performance on the AP Government &amp; Politics exam this morning.  Going to lunch with Krista.
neutral,Thanks for your definition of throwbie!  Editors reviewed your entry and have decided to not publish it.
sadness,"@NosliwEiggam hey, got your text sms. i plan on maybe just catching a flick tonight. last night was a wee bit too much for me"
anger,"@TalentAgentLA unfort, i can't DM you b/c ur not following me"
happiness,Well off 2 bed...cant wait 2 party 4 Mother's Day in like 14 hours or so
happiness,"Time for a mane trimming, some yoghurt and maybe some sushi. A nice way to wrap up a fairly good day."
neutral,looking for my littlest tsutsu...
happiness,badminton marathon tonight!  please cooperate feet!
neutral,Its 11:11...make a wish!
sadness,@FunkeyGurlNo1 I'm going to work.... bummer
neutral,"@brendandawes yeah, it works better as a command"
sadness,Happy mothers day!
neutral,"@photojunkie #avatarcamp photos, perhaps?  lol (just itching to see them!)"
sadness,Killing people  no not realy O.o just bored although it does sound like fun
happiness,@chelsea_playboy yehh just signed
sadness,@urbancritter I am lost. Please help me find a good home.
neutral,Gotta go back out there.
sadness,@BlueEyed_Cat @himynameisrose we all know and yes dont remind me im so effin jealous  fuck aust some times
anger,it just thundered reallyreally loud at work and this little boy started crying  I wanted to cry too...I hate storms! wah
anger,"finished!  took me about two hours, but i got a &quot;B&quot; on it"
neutral,"@kevinpollak Penguins win in OT, probably why you were busy.  One more game to win."
neutral,sarah_marie_711 two weeks will fly by
happiness,Reception food at Long Beach graduation = no Champagne  http://twitpic.com/67eba
sadness,"@mariancall I'm just glad that you didn't think that Star Trek didn't live up to its hype, and wasn't a waste of your time and money."
sadness,My phone is so stubborn!! You'd think it had my genes or something!!
happiness,"@ArnaudJacobs haha well i was at my friend's party, but then i realized i forgot my stepmom's bday, so i had to come home to call her!"
happiness,Dave looks so cute in the dark
neutral,@moweezle did you find the Colossus yet?
anger,@aranarose Murphy's Law?  Sorry that your computer is not cooperating when you have lots of work. My kids are .. http://tinyurl.com/km235x
happiness,"is chilled out tonite, so cannot spew venom or write funny. Seems like these are the only 2 styles she has"
happiness,Tinkling the ivory keys on a grand piano tomorrow. The small things in life that keep me excited!
neutral,"@KyriiK i love you , too"
neutral,@kristianinicole I left it @ home  http://myloc.me/21cN
anger,dammit - I slept in; now I have even less weekend to enjoy  - off to Azeroth bbl!
happiness,great day/night with my gabberss
anger,omg!!! mcdonalds combo and wendys sundae = puke material
happiness,spring pictures today  going to schoooool
anger,The best thing about Ciara. She just finished singing!
happiness,@ShashiTharoor i hope such moments inspire you on your political journey back home. all the best
happiness,@nattskies heyy nat! twitter twitter twitter. you'll get used to it hahaha  love youuuuuuuuuuu
neutral,my skype is - laqueshaa (just cuz everyone else is saying theirs  and i'm such a loner D
neutral,@goebicyu try direct message to me here on twitter
anger,Hail/Thunder storm here. The Power keeps on going on then off. It sucks.
neutral,Loong day. In bed cuddling with papabear and watching south park. Yay my bday bbq tomorrow! Can't wait
anger,IS ANYONE AWAKE?!?!?!?! oh my god i am dying here. i want to go to SLEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEP. :[
neutral,Ready to go home  2 more hrs of wrk
happiness,@Claire_Cordon LOL that split second of peace is truly amazing
anger,This train is so squeaky its givin me a sore head its bad enough i have to go to work!
neutral,"@jboriginal yip, that would be a sign that you've been on the dodgy sites Jo... eish boet, it ain't cool"
happiness,Happy Mothers Day!!
sadness,"I don't want to lose my wisdom teeth, they make me wise. I will soon be without a trace of wisdom"
anger,"his footy, and getting krisnan inu back on the team  / also, twitter, get rid of the ridiculous character limit."
sadness,@Greek4Honeybee oh no...where did your sunshine go?    *hands you a few rays of light...will this help a bit?*   ******hugs******
neutral,Holy crap I am exhausted! Resting up so I can go see Wolverine later
neutral,going to work
anger,frustrated by my stupid iPhone I need a blackberry!!!!
neutral,@Rysherd yes! My co-workers don't go to bars with me
sadness,@nellclothing I cancelled a run in favour of... staying in. Wish I monies for pubulation tho
happiness,@juliepilat great show
happiness,@vene2ia Great!
happiness,@itslauraaa Yeah i like it
sadness,@Lemonpi PH and I are having a macaron smackdown...except he is not aware of it...It's all being played out in my head
sadness,@Direct2Dell  my mini 10 order is delayed again.  Can I call to add the TV tuner for $20 more??
neutral,"@MalaReignz Thanks, Enjoy your dinner tomorrow"
anger,@toriigwyn i want chinese food really baaad.
sadness,"Sorry, It's hard finding Imeem free stuff  rb@Deesound: like that David Starfire but will like it more with a... ? http://blip.fm/~7a9fu"
neutral,"@dwight_davis Are you headed to a conference?  Oh and if you're doing the book buying ban, you can always borrow, right?"
happiness,@sneadles What a great picture!  We won tons of money that day.  (       )
anger,@cindaxo the straightener's another 110 pounds though. Seems pricey
sadness,Today I'm lonley girl with a guitar
neutral,New picture  bored.
neutral,BGT TOURRR 18THH JUNEE  &lt;3 2ND ROWWW  GEORGE SAMPSONN!! &lt;3&lt;3
happiness,@retrorewind Dave thanks for playing Happy Birthday from NKOTB. Today is my bday! It is a lonely bday today.
neutral,Good morning tweeps! I have a feeling I won't be oversleeping now that Gracie is around.  She pounced on my head and woke me up at 7am.
neutral,Danny cut his beautiful curls
anger,crap! tying run is on 2nd!  let's hold em' Raiders!
sadness,but mum just burned some bacon... smoke alarm's a bitch
happiness,@kellydollyrot aww... my mom will appreciate it   Much the same to your familias! When do you leave for tour?
sadness,@mitchelmusso http://twitpic.com/67swx - i tried but i didnt get through
neutral,back to my interesting emails...
neutral,"I forwarded an email about a cool science event in Canberra, and a friend thought it was in Sydney and trekked out to the wrong place"
sadness,"Really Wish i could see dave from @reemerband again, missing him already"
neutral,"I have that 'Friday' feeling, though - I am working tomorrow"
neutral,"@caitlingrant Thanks!!!!  Like I said on facebook, you just made me awesomely happy.  Thanks."
happiness,loves her mum very much! Happy Mothers Day to all the wonderful mothers out there
anger,@msmiya127 did your car get towed? Thats what happened to redgie's car last time he went there  another reason why i don't like splashtown
sadness,@madfatter I just re-skinned. Still figuring why tweetsuite isn't updating
sadness,@iheartmc I'm sorry sister!!  just think you get to see your man in a bit! That should make you happy. You guys should call me tonigh
neutral,@cloudconnected Actually I think the NA release date was confirmed for September so it's a bit more of a wait.
sadness,ugh... dunno why im just not in the best of moods... how do i know if i have allergies? meh...
sadness,@aAaAle  haha ...i'll let you know how the show was ... hope here in romania they will show it on Mtv.Sunday morning I have an exam
sadness,Not feeling all that well today
anger,woke up way later than I intended to today  Need to start getting to bed before 5 a.m. b/c this will be a bad habit to break later
